COD SUJETO;SEXO;EDAD;TRATAMIENTO;SESION;RELATO;;;;;;;
S3H;F;JOVEN;Con higiene;T2;Federico vive en caballito en la calle Bacacay se levanta a las 7 30 de la mañana va al baño a higienizarse se lava la cara los dientes después va a su guardarropa está indeciso entre dos camisas una azul a cuadros y una negra rayada Elige la segunda Después va a desayunar desayuna dos tostadas con dulce de leche y un café conleche y va hasta la estación de tren Caballito al final del andén Después de 15 minutos viene el tren y lo toma hasta su trabajo que queda en la calle Saavedra en el barrio de Once Saluda sus compañeros se prepara un café y se sienta en la computadora a mandar unos mails Al finalizar la jornada laboral saluda a sus compañeros y se va a tomar el subte para regresar a su casa Cuando regresa a su casa se pone a limpiar el patio y después se pone a jugar a unos jueguitos que bajó la noche anterior en la play Uno era de carreras pero se aburre y decide prepararse un té verde y leer un libro;;;;;;;
S4H;F;JOVEN;Con higiene;E1;Como todos los días Juana se levantaba a las 7 30 de la mañana desayuna un café con leche con dos tostadas con manteca y mermelada de frutilla Se arregló bajó hasta la estación Ministro Carranza para dirigirse hacia Recoleta donde queda su trabajo Una vez que llegó a la oficina realizó llamadas hacia proveedores que habían quedado pendientes A las 8 y 30 de la mañana respondía correos electrónicos atrasados Luego se reunió con su jefa a eso del mediodía tuvo una reunión en la cual se discutía el lanzamiento de la marca Ladysoft de toallitas femeninas Luego de la reunión llamó al delivery encargó su comida y en su horario de descanso almorzó Luego de su trabajo se dirigió al supermercado compró lácteos y verduras pagó en efectivo Fue a su casa dejó las cosas en la heladera se preparó se cambió se puso su ropa deportiva eligió su música preferida corrió durante 40 minutos y cuando volvió se bañó se preparó para ir a una cita que tenía por Tinder a un bar en la calle Tacuarí Mientras esperaba a su cita se sentó junto a la barra a tomar unos tragos A eso de la medianoche llegó a su casa se acostó se puso a leer el libro del psicoanálisis Después empezó a ver las redes sociales y después de media hora pudo dormir;;;;;;;
S4H;F;JOVEN;Con higiene;T1;Juana se levanta a las 7 30 de la mañana como todos los días se prepara su café con leche con tostadas con mermelada de frutilla cuando termina de desayunar se arregla baja hacia la estación Ministro Carranza para ir a su trabajo que queda en Recoleta Una vez que llega a la oficina recuerda que tiene que hacer llamados que le quedaron pendientes a proveedores A eso de las 8:30 de la mañana chequea correos electrónicos atrasados Luego se reúne con su jefa y masomenos al mediodía tiene otra reunión en la cual se discute el nuevo lanzamiento de la marca Ladysoft de toallitas femeninas Luego de la reunión pide su comida por delivery y come en su horario de descanso Una vez finalizado su trabajo va al supermercado compra lacteos y verduras los paga en efectivo y se dirige hacia su casa Cuando llega a su casa guarda las cosas del supermercado en la heladera y se cambia se pone la ropa de entrenamiento la cual como todos los días hace su rutina de 40 minutos de correr en la plaza del barrio Cuando termina se baña y se va a una cita que tenía en Tinder en un bar en la calle Tacuarí  se sienta junto a la barra esperar a la persona con la que quedó para verse A eso de la medianoche ella llega a la casa se recuesta se pone a leer el libro del psicoanálisis luego mira las redes y después de media hora se logra dormir;;;;;;;
S4H;F;JOVEN;Con higiene;E2;Luego de una noche de sueño placentero Federico se levanta a las 7 y 30 de la mañana en su casa ubicada en la calle Bacacay en el barrio de Caballito Luego de levantarse abre su armario donde tiene todas sus camisas y tiene dos opciones a cuadritos azules o rayada de colores Elige la opción 2 rayada Luego va al baño se peina se pone gel se lava los dientes y la cara Luego va a la cocina pone la pava para tomar mate se prepara dos tostadas con queso crema y dulce de leche Luego de desayunar agarra su bolso a eso de las 8 de la mañana y se dirige hacia la puerta de la casa Es un día soleado y húmedo Camina 5 cuadras hasta la estación de tren de Caballito Una vez que llega a la estación va al final del andén y espera 15 minutos Llega a la empresa saluda a sus compañeros se prepara un café prende la computadora se pone a realizar llamados Luego que termina su trabajo saluda a sus compañeros se dirige hacia su casa toma el subte y decide ponerse a limpiar el patio de su casa Luego de eso se pone a jugar a la playstation la noche anterior había comprado dos videojuegos y quería probarlos mientras jugaba pensaba que iba a cocinar a la noche Se aburrió de jugar a la PlayStation se sentó a tomarse un té verde bajo la ventana a leer un libro;;;;;;;
S4H;F;JOVEN;Con higiene;T2;Después de una noche de sueño placentera a las 7 y 30 de la mañana Federico se levanta en su casa situada en la calle Bacacay en el barrio de Caballito Abre su armario tiene dos opciones la camisa cuadritos azul o la rayada a colores Elige la rayada Se dirige al baño se higieniza se lava la cara los dientes se pone gel se peina y va hacia la cocina a poner la pava para tomar mate se prepara dos tostadas con queso crema y dulce de leche Luego de finalizar el desayuno agarra su bolso y se dirige hacia la puerta de su edificio Al salir el día está soleado y húmedo Camina 5 cuadras hacia la estación Caballito se va hasta el final del andén y espera 15 minutos a que llegue el tren Cuando llega el tren se dirige hacia el trabajo en el barrio de Once Llega a su trabajo saluda a sus compañeros se prepara un café se sienta a realizar llamados que quedaron pendientes luego de finalizar su horario de trabajo sale va hacia la estación de subte para volver a su casa llega a su casa decide arreglar su patio Una vez que finaliza de arreglar su patio se sienta a jugar a la play y prueba los dos jueguitos que compró la noche anterior Mientras juega con la play piensa que es lo que va a cocinar Se aburre de jugar a la play  se sienta a leer un libro y se toma un té verde;;;;;;;
S5NH;F;JOVEN;Sin higiene;E1;Laura después de una noche tranquila se levanta a las 7 30 en su casa de Palermo. Desayuna un café con leche con tostadas con manteca y dulce de frutillas y agarra su bolso y se va al trabajo se toma el subte línea D y se baja en Recoleta. Cuando llega a la oficina se acuerda que tiene que llamar a proveedores y al diseñador gráfico y se toma otro café más tarde tiene otra reunión con su jefa a las 8:30. Antes del mediodía tiene otra reunión con el equipo sobre el nuevo lanzamiento de unas toallitas LadySoft. Después pide la comida por Delivery y cuando sale, pasa primero a hacer las compras. Le faltaban lácteos y verduras. Paga en efectivo. de ahí se va a la casa, cuando llega a la casa se saca la ropa del trabajo se pone ropa deportiva, agarra una botella de agua y sale a correr por 40 minutos. Hace siempre el mismo recorrido. vuelve de correr, se baña y se prepara para ir a una cita que había conocido a alguien por Tinder. Vuelve a su casa a la medianoche, se acuesta, lee un libro el psicoanalista y después de media hora logra conciliar el sueño.;;;;;;;
S5NH;F;JOVEN;Sin higiene;T1;Laura se levanta a las 7 y 30 después de una noche tranquila en su casa en el barrio de Palermo, vive en un cuarto piso, desayuna tostadas con manteca y mermelada de frutilla y un café con leche, después se prepara agarra su bolso y se va al trabajo. Se toma la línea D del subte y se baja en recoleta. Llega al trabajo y se toma otro café con leche a las 8:30 tenía una reunión con proveedores y más tarde con su jefa, después de eso tuvo una reunión con su equipo porque iban a sacar un comercial de toallitas femeninas Lady soft, después cerca del mediodía pide delivery, almuerza, después vuelve a su casa a la tarde llega se cambia la ropa se pone la ropa deportiva, sale a correr hace siempre el mismo recorrido cuando vuelve se lleva una botella de agua y cuando vuelve se cambia se arregla se baña porque tiene una cita con alguien que conoció en Tinder. Sale, lo espera sentada en la barra, se iban a encontrar en un bar. A la noche vuelve y antes de irse a dormir chequea sus redes sociales, lee un libro el Psicoanalista y se acuesta. En las imágenes, la primera imagen era una habitación con la cama desarreglada, un acolchado gris, una mesa de luz , una habitación muy luminosa. En la segunda aparece ella sentada, en la tercera se muestra un poco más de su casa, después la imagen de la estación de subte había bastante gente. Después está la imagen de la oficina , donde ella se sienta en la computadora había una silla de color negro, había unas estanterías blancas, después de eso es la imagen de la reunión, había mucha gente , una oficina más grande, una mesa amplia, Luego de eso estaba la imagen de nuevo de un escritorio con la bolsa de la comida que había pedido, también pasaba a ser unas compras en la imagen estaba los lácteos y frutas y verduras. Pagaba en efectivo. Todo muy colorido. Después la imagen de la casa con las bolsas de compra arriba de la mesa, había una mesada en el medio, después cuando ella se cambia y sale a correr está ella corriendo muchos arboles en el fondo tenía puesto un topcito violeta después la entrada de la casa tenía lucecitas en la vereda, bueno y después la imagen de ella leyendo de costado en la cama, con el libro.;;;;;;;
S5NH;F;JOVEN;Sin higiene;E2;Luego de una noche tranquila Federico se levanta en su casa ubicada en la calle Bacacay en Caballito. Se levanta va al baño se cepilla los dientes, después va a elegir una camisa en su armario está entre dos opciones una a lunares y otra azul a rayas y elige ponerse la azul. Va a la cocina pone a calentar la pava para tomar mate se hace dos tostadas con queso y dulce de leche. De ahí se dirige a la calle, el dia esta calido pero húmedo, se dirige hacia la estación de tren de caballito. Después de 15 minutos llega el tren. Llega al trabajo ,se toma un café prende la computadora y empieza a trabajar. A la hora que finaliza su jornada laboral sale va a la casa cuando llega a la casa va a jugar un rato a la play y se descargó dos juegos la noche anterior, uno de carreras y el otro no me acuerdo. Los quería probar después de un rato se aburrió mientras pensaba que preparar para la cena. fue a leer un libro en frente a la ventana para tomar aire fresco, se preparó un té verde y se puso a leer. En la primer imagen está él, tapado, unas sábanas a rayas, en la segunda imagen hay un armario bastante grande con muchas camisas y mucha ropa, la tercera es un baño todo blanco, la cuarta es la cocina muy blanca tiene una heladera plateada, un microondas plateado también y utensilios colgados.La otra imagen es él , tiene una mochila puesta, va caminando por la calle, en otra se muestra la imagen de la estación de caballito, es un tren celeste, en la oficina se ve la taza de café arriba de la mesa, la computadora, libros, después es él jugando con el joystick de la play de color azul, después de eso está él sentado frente a la ventana. La habitación parecía cómoda.;;;;;;;
S5NH;F;JOVEN;Sin higiene;T2;Luego de una noche tranquila Federico se levanta a la mañana en su casa ubicada en Caballito, se levanta va al baño, se cepilla los dientes luego va a su armario y elige para ponerse entre dos opciones de camisa, una rayada azul después de ahí va a su cocina se prepara unos mates con tostadas para desayunar, tostadas con queso crema y dulce de leche o manteca y dulce de leche. Sale a la calle, es un día soleado pero húmedo. Va a la estación del tren, se toma el tren para ir al trabajo, cuando sale del trabajo vuelve a la casa se despide de los compañeros, vuelve a la casa limpia el patio se sienta a jugar a la play que estuvo descargando juegos el día anterior uno de carrera y otro de peleas. Los prueba después de un rato se aburre y se sienta a leer el libro frente a la ventana se prepara un té. En la primer imagen está él levantándose, es un chico con barba. El baño es bastante blanco, el armario se ve amplio con muchas camisas colgadas bastante ropa. Después la cocina, blanca con una heladera, un microondas plateado. Después el saliendo del edificio en la calle, después la calle en si, la estación del tren y el tren, con bastante gente, después el trabajo hay una oficina, después se ve a él limpiando el patio, hay un silloncito y el limpian los vidrios. Después de eso el sentado jugando a la play de espaldas, el joystyck era azul. Y después él sentado en un escritorio que le da el sol, leyendo un libro y con su taza de té blanca sobre el escritorio.;;;;;;;
S6NH;M;JOVEN;Sin higiene;E1;Juana se levanta temprano para ir a trabajar, la cama estaba hecha, se levanta a tomar un café, agarra su bolso para ir a trabajar, después Juana llega a la oficina donde tenía que entregar unos documentos, después se junta con los amigos en otra oficina, que tiene que hacer algo de las toallitas Ladysoft, después de terminar el ciclo de trabajo se va a comprar alimentos al supermercado, va a la casa, guarda los alimentos, va a caminar siempre por el mismo camino, media hora, después se va a un bar a encontrarse con un chico que conoció por Tinder, después se va a su casa y después de media hora logra conciliar el sueño .;;;;;;;
