Sujeto;Texto
L3NH;Federico vive en el barrio de caballito en la calle bacacay, se lavanta siete y media se va a higienizar se lava los dientes se pone gel va a desayunar con dos tostadas con dulce de leche y queso, a las ocho sale de la casa, previamente aparentemente tenia que elegir entre dos camisas elegia la rayada y despues en el video se lo ve con una remera negra. Sale va a la estacion de caballito del tren que la tiene a 5 cuadras y se baja en la estacion once para ir a su trabajo. llega a su trabajo se toma un cafe se dedica a responder llamadas durante el dia no me acuerdo que pase nada mas, cuando se va vuelve a su casa y se dedica a limpiar el patio despues de limpiar el patio se pone a jugar con la playstation 4, el dia anterior descargo dos videos, uno sobre carrera de coches, pero mientras esta jugando esta pensando que va a preparar de cena y se aburre un poco entonces deja los juegos y va a la ventana a leer un libro mientras el sol va bajando
L3NH;Se llama federico se despierta siete y media, se ducha y se pone gel, desayuna con dos tostadas una de queso crema y dulce de leche y a las ocho se va a la estacion caballito porque vive en la calle bacacay. ahi durante quince min espera el tren, llegó a la oficina y con una taza de cafe se dispone a responder correos atrasados pasa trabajando todo el dia cuando llega a la casa de regreso se pone a limpiar el patio. Despues se dedica a jugar con la play con dos jueguitos que compro el dia anterior uno de ellos de carrera de autos. como un poco se aburre se pone a leer un libro. al trabajo se fue con una remera negra pese a que estuvo buscando camisas y eligio una rayada.
L4NH;Juana se despierta a las siete y cuarto de la mañana se prepara para ir a tabajar. La habitacion es muy luminosa y tiene una ventana donde entra el sol. Se levanta, se sienta a tomar su desayuno vive en charcas belgrano, despues de tomar su taza de cafe con leche mientras mira por la ventana baja y se va a tomar a la estacion de subte toma la linea D que la lleva a su trabajo. Cuando llega a la oficina, es muy linda y luminosa tambien, se recuerda que tiene que hacer varias llamadas antes de ponerse a trabajar. Las realiza, luego se pone a trabajar, recuerda que tinee una reunion al mediodia de trabajo con su jefe y otros compañeros de oficina. Despues de ahi cuando termina la jornada laboral pasa por el super a hacer la compra, compra lacteos, verduras, paga en efectivo, y se vuelve a su casa, donde entra una cocina tambien impecable, todo ordenado, muy moderna, ordena todo se viste de gimnasia y sale a correr por un espacio muy despejado no hay tannots edificios, siempre hace el mismo recorrido despues de ese paseo tiene una cita que habia quedado en tinder asique se cambia y va a la confiteria que no recuerdo el nombre de la calle. luego cuando regresa a su depto lee el analista antes de quedarse dormida. Las imagenes de la protagonista para mi no es la misma del inicio al final.
L4NH;Juana. Se levanta temprano, esta la imagen de su depto del cuarto, yo lo que marcaba es que estaba muy ilumindado habia cuadros. Vive en palermo, no me acuerdo la calle, va al subte toma el subte d, se va al trabajo, cuando llega a la oficna se acuerda que tiene que hacer varias llamadas antes de empezar a trabajar , solo se ven los muebles de la oficina ella no se ve. Ah pero antes de bajar a tomar el subte desayuna . Toma su taza de te con leche frente a la ventana. DEspues tiene una reunion con su jefa y otros compaleros de trabajo, cuando termina de trabajar camino a su casa pasa por el super, compra verduras y lacteos, paga en efvo. Cuando lega a su casa se ve una cocina muy ordenada impecable, ordena las cosas que compro , se viste de gimnasia y sale a hacer un recorrido que hace habitualmente. es una zona muy linda, muy despejada, con mucha luz. El recorrido que hace es el de siempre, despues regresa a su casa y no me acuerdo como cierra.
L4NH;Federico, se despierta a las 7.30 de la mañana para ir a trabajar, vive en el barrio de caballito. se levanta va al baño, se lava los dientes se peina, el baño es todo blanco, las toallas de color naranja. Cuando termina se va a la cocina, pone el agua para el mate come una tostada con dulce de leche y no se que cosa. La cocina tambien son unos muebles blancos. termina el desayuno a las 8 de la mañana agarra su mochila y se dirige a su oficina, cuando esta en el anden espera unos 15 minutos cuando llega el tren sube y se va a su oficina en el barrio de once. Llega saluda a sus compañeros, hace unas llamadas, en el escritorio esta la computadora y un celular. Cuando termina su horario saluda a sus compañeros llega a su casa y decide limpiar el patio. despues quiere jugar a la playstation 4 con dos nuevos juegos que habia bajado. Jugo un rato, se aburre de los juegos, se prepara un te verde y lee un libro mientras piensa que va a preparar para la cena.
L4NH;Federico se despierta  7.30 de la mañana, esta la vista de su cuarto, se levanta va al baño, y se cepilla los dientes se lava a cara se peina, en el baño recuerdo que predomina todo blanco, tiene toallas color naranja y algunos adornos de plantas verdes, despues va a la cocina a desayunar, creo que pone agua para el mate no recuerdo que es lo que come. Baja a tomar el subte y se dirige a once que esta la oficina donde trabaja, cuando llega saluda a todos los compañeros, gace llamados telefonicos, y al final de la jornada cuando se retira de la oficina, vuelve a saludar a sus compañeros, decide ordenar el patio de su casa, esta un rato ahi, despues decide estrenar la play que compro nueva con dos juegos, esta un rato se aburre, y decide leer un libro. Y creo que es eso lo ultimo que hace antes de irse a dormir.
L5H;Juana se levanta a las siete y media desayuna dos tostadas con manteca y mermelada de frutilla, luego sale de su casa y se va a tomar el subte a la est carranza para ir a su oficina que esta en el centro, llega a su oficina se sirve otro cafe y comienza a contestar mails que tiene atrasados, despues al mediodia tienen una reunion de oficina para promocionar un producto creo Luego de eso sigue por la tarde en la oficina cuando termina sale de la oficina y antes de llegar a su casa pasa por el supermercado y compra lacteos y verduras y no recuerdo mas Se va a su casa se cambia se pone ropa deportiva y sale a caminar o trotar por el barrio, despues tiene una cita x tinder, en un negocio en la calle tacuari entonces se va ahi en l barra espera encontrarse con la persona que se habia citado y vuelve a su casa a media noche. Ahi medio que me perdi, creo que lee algo del psicoanalista, y despues de eso se acuesta y le lleva masomenos 30 min hasta q se duerme
L5H;No me acuerdo nada, era algo sobre una chica q iba a trabajar, en subte… No me acuerdo mas.
L5H;Estaba durmiendo, vive en caballito, se levanta mira su guardarropa ver que camisa se va a poner pero despues sale con una remera negra se levanta y va al baño, se higieniza, se peina se pone algo en la cabeza no me acuerdo el nombre. luego se va a la cocina se prepara el mate se come dos tostadas con queso crema y dulce de leche, una vez qe temina de desayunar sale a la calle y se dirige a la estacion de caballito que esta a 5 cuadras, llega a la estacion, camina hacia el final del anden, llega el tren, lo toma baja en once porque trabaja en una empresa q esta en la calle saavedra, llega a la oficina saluda a sus compañeros, se toma un cafe y se pone a trabajar. Al atardecer cuando sale de la oficina se despide de sus compañeros, llega a su casa y se pone a jugar con la play que el habia bajado dos juegos nuevos los queria probar, pero al mismo tiempo esta pensando que va a cenar pero uno de los juegos lo aburre y se pone frente a la ventana y se pone a leer un libro.
L5H;Federico esta durmiendo, vive en caballito, se levanta mira su guardarropa ve una camisa a cuadros luego va al baño se higieniza se peina, luego se dirige a la cocina se prepara un cafe y dos tostadas con queso crema y dulce de leche. cuando termina de desayunar se viste y sale a la calle para ir a la estacion caballito que queda a 5 cuadras de su casa. Sale con una remera negra. Llega el tren , perdon llega a la esacion luego viene el tren lo toma y se baja en once xq el trabaja en una oficina en la calle saavedra. Llega a la oficina saluda a sus compañeros, toma un cafe y despues comienza a trabajar, escribe y hace llamadas telefonicas al finalizar su jornada laboral sale y se dirige a tmar el tren baja en caballito y vuelve a su casa. se pone a jugar con la play para probar un juego que habia comprado el dia anterior. como aparentemente mucho no le agrada lo que hace es irse a la ventana, toma un libro y se lo pone a leer.
