Sujeto;Texto
L11H;Juana se levanta a la mañana, vive en la calle Charcas en el barrio de Palermo y se despierta para empezar su dia. Tiene un cuarto con una cama grande de madera con colores marrones, hay una ventana donde entra mucha luz. Despues prepara el desayuno , come dos tostadas con mermelada y un cafe Se viste y baja para tomar el subte de la estacion Carranza la linea D para ir hacia Recoleta donde esta la oficina. Llega y recuerda que tiene que hacer unos llamados a proveedores y diseñadora gráfica. Despues se toma un cafe contesta unos correos y trámites de internet. tiene una reunion con su jefa en una oficina muy luminosa con cuadros, habia uno de la torre Eiffel, unos sillones , escritorios y sillas Se va a almorzar, hace tarea y descansa. Vuelve a su casa, pasa por el supermercado primero, tenia que comprar lácteos y verduras,paga en efectivo Se va para su casa acomoda sus cosas, se saca la ropa de trabajo y se pone ropa de deporte, se va a correr por una hora Llega se arregla porque tiene una cita que arreglo por Tinder. regresa a su casa y va a un bar de la calle Tacuari, se sienta en la barra a esperar después vuelve a su casa, chequea las redes, contesta mensajes y despues se va a dormir.
L11H;Una chica que se levantaba temprano a la mañana para ir a trabajar, era un cuarto muy luminoso, la cama de madera, vivia en Palermo. Se baña y se arregla para salir, toma el cafe y tostadas, se va a trabajar. Llega al trabajo tenia entrevistas , y se pone al dia con los mails. Tiene una reunión , almuerza ..toma un cafe en la oficina. Se va a su casa, pasa antes a hacer unas compras y se va a su casa a escalar. sale y se encuentra con un amigo a tomar algo, vuelve y se va a descansar.
L11H;Federico, se despierta a las siete y media para prepararse para ir a trabajar, va a buscar su camisa. Vive en la calle Bacacay en el barrio de Caballito, se dirige a su placard , elige entre dos camisas y se pone la que tenía rayas, la otra tenia cuadros se dirige al baño , se lava los dientes , la cara y se dirige a la cocina para prepararse un mate con tostadas con dulce de leche y queso crema A las 8 termina el desayuno, agarra la mochila y va a su trabajo. toma el tren va a la estación Caballito , espera el tren unos 15 minutos ,en el final del andén, se sube y llega a su trabajo Llega saluda a sus amigos, se prepara un café para tomar, prende la computadora, atiende los llamados telefónicos y se pone a trabajar. A la tarde termina y se dirige a la estación toma el tren y se va a su casa en su casa decide ponerse a limpiar los vidrios del patio, habia un balcon muy iluminado, con plantas,(recuerdo la calle que se dirige a la estación era una calle con un estacionamiento adelante , había un edificio con banderas.)
L11H;Un chico que se llamaba Federico, que iba a trabajar, se despertaba a la mañana, desayunaba algo y se iba a trabajar. Despues volvia, se aburría con los videojuegos , se pone a limpiar el balcon con vidrios o al reves. tiene una reunion con amigos y despues se va a dormir.
L12NH;Jose se despierta no me acuerdo a que hora, se prepara el desayuno, come tostadas con mermelada de no se que , en la calle anchorena vive en 4 piso, sale se toma el subte D en carranza, llega a la oficina, habla con la encargada me parece, mira todo lo que tiene que hacer, mira las tareas del dia o los contactos que tiene que hacer,se pone en contacto con ellos. Despues tiene una reunion de trabajo con varias personas para el lanzamiento de algo supongo no me acuerdo. Despues llama al delivery para el almuerzo, sigue con las actividades, no se que mas pasa en el trabajo. Cuando sale del trabajo va al super compra lacteos y verduras, despues llega a la casa, se cambia de ropa, guarda todo lo que compro, se cambia de ropa, se pone la ropa deportiva y va a trotar por la calle no se cuanto tiempo despues acordó una cita en un bar de tinder y se sienta en el bar, espera, no se si toma un cafe o no me acuerdo que toma, despues llega a la casa tarde se acuesta se duerme y creo q a las 8 de la mañana se vuelve a despertar algo por el estilo.
L12NH;la vida en un dia de una chica, se despertaba a las 7 de a mañana, desayunaba tostadas con mermelada. se duchaba, cambiaba de ropa, iba al trabajo, en el trabajo miraba la tarea que tenia que hacer, los mails, despues tuvo una reunion de trabajo al terminar la reunion pidio comida a un delivery, despues salio volvio a la casa supongo, se cambio de ropa se puso ropa deportiva salio a correr, despues tenia una cita con alguien de tinder, la tuvo se encontro en un bar creo, y despues de la cita creo q no ceno, y bueno se acosto a dormir.
L12NH;Se despierta 7 y media de la mañana mira en el placard que camisa ponerse tiene dos opciones, una de cuadro y la otra no se y elige una de ellas, no se cual. Despues va al baño a higienizarse, se pone el alcohol en gel, se peina, despues se hace un cafe con una tostada con queso crema y dulce de leche. sale de la casa que es en caballito, va a la est de trenses cabalitos a los 15 - 20 min toma el tren, llega al trabajo que queda en once, toma un cafe, mira el trabao que tiene las notificaciones todo eso, ahi me falta algo no me acuerdo que. Despues del trabajo llega a la casa y creo que arregla el patio o el jardin, despues la nche anterior se habia bajado dos juegos de playstation uno de carrera otro no me acuerdo y com se aburre va a la habitacion abre la ventana y se pone a leer un libro con aire fresquito
L12NH;Se desperto, habia dos camisas una de cuadros otra lisa, fue al baño,se habra afeitado se puso gel en el pelo, despues va al trabajo no me puedo acordar como va, mira los trabajos sus mails. Lo que si se es que cuando llega a la casa se pone a arreglar el jardin o la terraza que tiene unas plantas y hasta ahi llegue.
L15H;Juana se levanta despues de una buena noche de sueño, desayuna un cafe con tostadas y mermelada de frutilla, despues no se si se baña y toma el subte Dpara ir a la oficina que queda en Recoleta, no, bueno no me acuerdo. Llega a la oficina lo primero que hace se hace un cafe, se sienta , mira los mails, tiene una reunion parece que es diseñadora grafica porque tiene una reunion sobre las toallitas lady soft, despues cuando termina de trabajar pasa por el super y compra cosas, cuando llega a su casa se viste con ropa de deporte y bueno corre. Despues llega se da una ducha y se viste xq tiene una cita que hizo en tinder y se encuentra en un bar en la calle tacuari. Mas cerca de la media noche llega a su casa lee algo sobre psicoanalisis, mira las redes y se va a dormir
L15H;Se llamaba juana y se levantaba 7 y media de la mañana, desayunaba cafe con tostadas, ponia mermelada. Iba a trabajar llegaba a la oficina, se sentaba a ver los mails, despues a la tarde tenia una reunion porque era diseñadora grafica entonces tenia una reunion de toallitas femeninas, lady soft, y despues que terminaba de trabajar pasaba x el super compraba algunas cosas y antes de cenar corria se iba a hacer una horita de gimnasia Tambien cuando se acostaba miraba un poco las redes sociales y se iba adormir creo q a las 12 de la noche
L15H;Este señor se llama ricardo, se levanta a las 7 ymedia de la mañana, vive en la calle bacacay en caballito, se levanta abre su armario y elige su camisa que s eva a poner ese dia y esta entre una a rayas y una a cuadros y creo que elige la segunda que no se cual es, no me acuerdo los colores. de ahi pasa al baño y me da risa xq se pone gel en la cabeza y lava la cara, se cepilla los dientes de ahi pasa a hacerse un cafe con dos tostadas con queso crema y dulce de leche despues de eso sale con su bolso, ahi vi que no tiene el gel puesto y se dirige  a la est caballito. Espera el tren 15 minutos, va a su oficina que queda en la calle saavedra en once , trabaja, se va de la oficina, vuelve a la est de caballito, cuando llega a la casa se pone a limpiar el patio, despues s epone a ver video juegos, que se habia subido unos juegos el dia anterior se empieza a aburrir y pasa a leer un libro, mienras mira el video juego piensa que va a cenar, de ahi pasa a una habitacion que tenia una ventana a tomar un te y leer un libro.
L15H;El chico se levantaba muy temprano, tomaba cafe con tostadas con queso crema y dulce de leche Despues elegia que camisa, una camisa para vestirse una a cuadros y otra rayada. Despues pasaba por el baño se ponia gel en la cabeza, salia a las 8 para tomar el tren, me acuerdo como estaba vestido tenia una bolsa y una camisa. la estacion bacacay, tenia el dpto en la calle bacacay. se iba a la estacion de caballito a tomar el tren lo esperaba 15 min y se iba a once donde tenia la oficina trabajaba no me acuerdo de que, y mucho mas no me acuerdo
L16H;Bueno a las 7 de la mañana en el depto, Juana se despierta desayuna cafe con tostadas y dulce de frutillas, luego se va a la estacion de subte olleros, a tomar el subte para ir a su trabajo en recoleta, cuando llega al trabajo revisa los mails que tenia atrasados y recuerda que tenia que hacer llamadas a unos proveedores y a un dibujante, no se. Luego al mediodia va almorzar despues a la tarde llega a su casa va al super compra verduras y otros productos despues se cambia se pone ropa deportiva y sale a hacer el recorrido que hace normalmente de 40 min cuando llega a su casa va a una reunion que tenia por tinder en un bar luego regresa a su casa se acuesta mira unos mensajes lee un libro de psicologia y despues se duerme
L16H;Empieza con una habitacion con una cama vacia, se levanto alguien de un depto de la calle no me sale. Juana se va a la terraza a tomarse el desayuno un cafe con tostadas con dulce, luego se va a trabajar, va a la estacion de subte la estacion olleros para ir a su trabajo, cuando llega a su trabajo empieza a contestar los mails que tiene, y a conectarse con los clientes que tenia pactados, y despues del trabajo va a un bar luego regresa a su departamento
L16H;Se levanta va al guardarropa, elige una camisa a cuadros y una a rayas, agarra la de rayas, luego va al baño a higienizarse, se lava los dientes se pone gel en el pelo se lava la cara, luego del baño se va para la cocina a preparar su desayuno, toma un cafe con dos tostadas y queso y dulce de leche. Vive en la calle Boyaca en caballito, sale a la puerta se dirige a su trabajo cuando llega prende la computadora hace un cafe, y contesta los correos despues del trabajo va a la estacion de tren caballito que son 5 cuadras de la casa, se toma lel tren va a su trabajo y toma el cafe. Todo eso antes, sale del trabajo toma el subte va a su depto se sienta en el sillon el dia anterior habia descargado juegos de playstation 4, le aburren los juegos se sienta al lado de la ventana a leer un libro.
L16H;Pedro que estaba durmiendo placidamente, se despierta se levanta va al placard y elige las camisas, una cuadriculada y una rayada, elige la rayada, luego va al baño a higienizarse se lava los dientes, va a desayunar, prepara un cafe con leche cn dos tostadas con manteca y dulce de leche, el vive en la calle boyaca, sale del depto el vive en caballito, toma el tren  para ir al trabajo, cuando llega toma un cafe y contesta los mails del dia anterior, despues se va a un supermercado a comprar algo para cenar, luego se va a su departamento, tiene dos juegos que compro el dia anterior los quiere probar, juega un rato con los videojuegos, se aburre y se va al lado de la venta a leer un libro
L17H;Juana se despierta muy temprano en la mañana, se prepara un cafe con leche y dos tostadas con manteca y mermelada de frutilla, se viste para ir al trabajo baja al subte a la est carranza para ir a su trabajo en recoleta, cuando llega recuerda que tiene que realizar varios llamados, despues 8.30 empieza con su rutina laboral toma un cafe, al mediodia tiene una reunion de trabajo en la que discuten la marca de toallitas lady soft, vuelve a a casa pasa por el super hace una serie de compras y cuando vuelve se saca la ropa de trabajo se pone ropa de gimnasia y sale cn una botellita de agua. vuelve a la casa se ducha, y sale al centro para encontrarse con una cita que realizo a traves de tinder. A la casa vuelve a la noche tarde creo 12.30 revisa las redes sociales y despues de media hora concilia el sueño
L17H;Era una chica que se levantaba temprano a la mañana, desayunaba un par de tostadas con manteca y mermelada, se vestia y se iba a la oficina, desayunaba en la oficina o tomaba un cafe Tomaba el subte en la est carranza, llegaba a la ofcina se ponia a revisar y contestar unas llamadas telefonicas y despues se tomaba un cafe para empezar a trabajar Al mediodia tenia una reunion sobre una publicidad de toallitas femeninas no me acuerdo el nombre de ahi se va del trabajo llega a la casa se cambia de ropa y sale a hacer actividad fisica a la calle.
L17H;Federico despues de una plancentera noche de sueño se levanta y va al placard para elegir que ponerse, si una camisa a cudros una a rayas. Pasa por el baño se lava la cara se peina y se pone gel. Desayuna dos tostadas con queso crema y dulce de leche. Sale a la calle, la casa estaba en la calle bacacay en caballito. Despues sale a la calle y va a la est de tren caballito espera 15 minutos. llega a la oficina salud a aus amigos hace algunas llamadas, despues del dia laboral toma el subte para volver a la casa, limpia el patio despues la play 4 juega con unos jueguitos que habia descargado la noche anterior de aventura y no se que mas. se aburre de jugar se pone a leer un libro, piensa que va a hacer para la cena
L17H;El muchacho se levanta se despierta y sale para el trabajo, toma el subte en la estacion carranza, llega a la oficina atiende el tel hace varias llamadas, creo que almuerza, se me mezcla con el primer video. despues creo que va a la casa se cambia se pone ropa para hacer gimnasia, toma el subte o el tren en la estacion caballito, y de ahi no paso. Ah jugo un video juego se aburrio se puso a leer un libro, creo
L18H;Se levanto a las 7 y media de la mañana desayuno cafe con tostadas con dulce de frutilla, se cambio para ir al trabajo, tomo la linea D del subte para ir a su trabajo que estaba en recoleta cuando llego tuvo una reunion por unas toallitas femeninas,lady no me acuerdo despues pidio comida x delivery para almorzar cuando llego a su casa se cambio y se puso ropa deportiva para hacer su rutina de ejercicios diaria, siempre por el mismo lugar no cambia la rutina Al regresar volvio a prepararse xq tenia una cita por tinder, fue al bar y espero a la cita al regresar a su casa leyo el psicoanalista y no me acuerdo mas
L18H;"Era una chica que se levantaba y desayunaba cafe, dude si era cafe con leche creo que si
hacia unas tostadas con un dulce de frutas creo frutilla, despues tomaba el subte la linea D para ir al trabajo en recoleta cuando llego tuvo una reunion por unas toallitas lady no me acuerdo despues pidio delivery para almorzar, volvio a su casa, hizo una rutina se cambio toda la ropa se puso eopa deportiva y fue a hacer las caminata, que era una rutina que la hacia siempre en el mismo lugar Cuando llego a su casa no me acuerdo supongo que habra cenado, y cuando llego leyo el psicoanalista y se acosto
"
L18H;Un chico se levanta, se higieniza se lava los dientes, escoge la ropa para ir al trabajo entre dos camisas una rayada a otra a cuadros, elige la segunda, pone agua para unos mates prepara una tostada con manteca y dulce de leche y a las 8 toma el bolso y sale de su casa para el trabajo va a la estacion caballito que queda a unas 5 cuadras de su casa, se dirige al final del anden, espera unos 15 min que llegue el tren, cuando llega a la oficina se prepara para cmenzar a escuchar unos llamados, despues que temina de trabajar vuelve a su casa, ah el trabajo era en la zona de no me acuerdo Cuando vuelve a su casa decide limpiar el patio, despues queria probar unos juegos con la playstation, uno de aventura, y el otro no se era entre 2 juegos despues decide jugarlos pero se aburre, y va a leer un libro y decide leer un libro
L18H;Un muchacho federico  habia tenido una noche de descansno tranquila, se levanto puso agua para el mate, comio pan con dulce de leche, se cambio para ir a trabajar tuvo que elegir entre dos camisas una a cuadros y otra rayada, eligio la segunda opcion creo q era la rayada. despues fue tomo el tren, camino unas cuadras hasta la estacion de tren lo espero unos 15 min al final del anden y fue hasta est caballito. Llega al trabajo, se dispuso para hacer llamadas telefonicas, despues llega a la casa, y juega unos jueguitos que tenia en la playsation, emieza a investigarlos se aburre y se sienta a leer.
L19NH;Presentaban el dpto, a la hora q se levantaba lo qur desayunaba, se iba en subte al trabajo en una oficina, de diseño o publicidad, se toma otro cafe en la oficina, antes de eso hacia llamadas telefonicas, despues tuvo una reunion para un nuevo producto de toallas femeninas, mando mails comio en el escritorio despues de la oficina hizo las compras en el super vuelve a la casa se cambio de ropa hizo ejercicio y despues se habia ido a una cita en un bar, volvio a la casa leyo unos libros no se si contesto unos mails y se durmio tarde.
L19NH;Mostraba un dormitorio, despues una cocina despues mostraba una oficina un escritorio, mostraba como una sala de reuniones con varias personas, despues creo que estaba corriendo alguien, despues la imagen de un supermercado, iba narrando un dia en la vida de esta mujer. Se levantaba, desayunaba,llegaba a la oficina, habia ido de compras, se reunia con amigas hacia ejercicio, se encontraba a tomar algo con las amigas. creo q tenia una cita, llegaba a la noche
L19NH;Esta durmiendo, se despierta se ve a alguien durmiendo en una cama despues va hacia el placard a elegir la ropa entre una camisa azul y una a cuadros, se lava la cara, los dientes, despues va a desayunar mate con dos tostadas, despues sale con su bolsa a la puerta de su casa camina creo que 5 cuadras hasta la estacion de tren, en la est caballito. Espera el tren, llega al trabajo y saluda  a sus compañeros y se pone a tomar un cafe. Habla por tel mira la computadora, despues de su jornada de trabajo saluda para irse y se va a su casa y decide ir al jardin y se la ve limpiando un vidrio, despues decide jugar con la play 4, habia bajado la noche anterior unos juegos se pone a jugar pero se aburre, decide leer un libro sentado en una mesa con la ventana que le entra luz, toma un te.
L19NH;La vida de un muchacho, que se levantaba desayunaba, despues se iba a trabajar, hacia ejercicio, iba a comprar, creo o era la chica? Me queda grabada la cocina que se preparaba unas tostadas, tomaba el tren o el subte, que vivia en caballito
L20NH;Una chica se levanta desayuna, se prepara para ir a trabajar, cerca de retiro. Llega al trabajo se pone  amirar mails, tiene programados varios mails o 4 creo que dice. se reune se ve una reunion de trabajo de estrategias, xq es una empresa de toallitas o vende toallitas. Habla con su jefa antes. Almuerza despues vuelve a su casa pasa x el super, compra paga en efectivo, vuelve deja todo se va a correr se pne una musica q le gusta para ir a correr. Corre masomenos media hs cuarenta min. Vuelve se arregla se va a una cita de tinder que arreglo a un bar de la calle tacuari, se va a la barra a esperar la cita, vuelve, lee el libro el psicoanalista y se duerme.
L20NH;Era la historia de un dia en la vida de una chica- se levantaba habia dormido bien, tomaba el desayuno, vivia en la calle charcas se iba en el subte a trabajar al centro, en la estacion carranza de subte. Se iba al centro tennia un par d reuniones hablaba con la jefa, almorzaba, despues se volvia a su casa hacia compras por el camino, se cambiaba se ponia ropa deportiva se ponia los auriculares y se iba a correr un poco. Volvía, se cambiaba se arreglaba u se iba a un bar a una cita de tinder. Despues volvia de la cita y se iba a dormir
L20NH;Era un muchacho Federico, se levanta despues de dormir bien, se va al baño, higieniza, se va al placard, elige entre dos camisas una a cuadros y una a rayas azules, va al baño se lava los dientes se pone gel en el pelo, se lava la cara. se hace mate con tostadas con queso cena y dulce de leche. Sale alrededor de 8.30 camina unas cuadras, vive en la calle bacacay, camina a la estación de tren de caballito, cinco cuadras, va a la estacion de once xq va a la calle saavedra a trabajar , llega atiende llamados en la computadora saluda a sus compañeros etc, cuando vuelve limpia los vidrios de su patio, despues se pone a jugar a la play xq se descargo dos distintas, una de aventura la otra no me acuerdo, juega a una pero se aburre entonces se va al lado de la ventana a leer un libro
L20NH;Un hombre que se despertaba se veia una cama de dos plazas, se aseaba, despues se veia una foto de su placard abierto con varias prendas, el elegia entre dos camisas una como labradora a cuadros y una rayada en azul  creo, despues desayunaba se veia de afuera la cocina. desayunaba queso blanco y dulce de leche. despues vivia en caballito tomaba el tren iba a trabajar al trabajo de la calle saavedra. Llega y se sienta al escritorio para trabajar con la computadora despues creo que iban a comprar algo de comer despues volvia a su casa y limpiaba su casa y creo que despues se iba a tomar algo con los amigos, puede ser cerveza
L22H;Juana se levanta  a las siete de la mañana, desayuna un cfe con leche con dos tostadas con mermelada de frutilla y luego de dirige a sus tareas toma el subte, en la estacion carranza, y va hasta la estacion creo que dijo charcas en recoleta. Llega a su oficina a eso de las 8 am conversa con su jefa pero antes hace unos llamados, despues con los proveedores sobre el diseño supongo que sera diseñadora, 8 y 30 se reune con alguien para hablar de su trabajo, trabaja en los apositos de lady soft luego cuando reglresa a su casa se pone la ropa de sport y sale a caminar,
L22H;Vi una imagen que era un departamento un dormitorio, supongo que era la casa de Juana, Juana es una diseñadora se levanta  a las 7 y media desayuna un cafe con leche con dos tostadas con mermelada de frutilla, va al teabajo a las 8, sale de la estacion carranza y va hacia recoleta a la calle charcas se encuentra con su jefa charla, luego sobre su trabajo que es diseñadora, luego atiende a un proveedor que le comenta sobre las toallitas lady soft y por la tarde regresa a su casa se pone ropa sport, deportiva, zapatillas y sale a correr unos 40 min.
L22H;Federico vive en le barrio de caballito, se levanta  a las 8 de la mañana desayuna dos tostadas con queso y ddl toma el bolso y se dirige a la estacion caballito para ir a su trabajo a la calle saavedra en once. Llega a su ofivina enciende la computadora saluda a sus compañeros y hace sus tareas. Regresa a su casa y en el camino adquiere dos juegos para la playstation uno de carrera el otro no me acuerdo, llega a su casa se pone a jugar no le gustan los juegos entonces se pone a leer un libro cerca de la ventana- luego se va al patio a arreglar el patio.
L22H;Federico se levantaba por la mañana todos los dias a las 7 de la mañana desayuna mate con dos tostadas con queso y dulce de leche, recuerdo que estaba en la cocina, tengo la imagen grabada. Luego se dirige a la est caballito toma le tren, va a la estacion once a la calle saavedra. Alli tiene su oficina, llega hace unos llamada abre la compu, luego regresa a su casa, trae los juegos dos juegos de la play uno era de carreras el otro no recuerdo, se pone a jugar, no le agrada, y entonces toma un libro y se va a leer cerca de la ventana.
L23NH;La protagonista se levanta  a las 7 y media, vive en el departamento de la calle charcas en el cuarto piso, para ir al trabajo se toma el subte d ministro carranza y tiene el trabajo en recoleta. A las 8 y media ocntesta los mails, tenia para contestar de proveedores y a un diseñador grafico, a la mañana toma un desayuno ya en la casa el cafe y despues otro cafe en la oficina. Despues tiene creo que 12 .30 la reunion de trabajo con su equipo . Al salir del trabajo pasa x el super compra frutas y verduras y paga en efvo. Despues se prepara para hacer su rutina diaria de gimnasia, se viste, sale a correr, corre todos los dias x el mismo lugar durante 40 min. y despues se prepara para una salida una cita que arreglo x tinder y va al bar mishigene y despues vuelve para la casa se acuesta y demora 30 min en dormirse.
L23NH;Bueno una chica que se levanta a las 7 y media en su departamento del cuarto piso, se prepara para ir al trabajo se va en subte la linea D. En el trabajo tenia reunion con su jefe. antes de volver a la casa tenia una cita con alguien de tinder en el cafe o bar que se llamab mishigene. despues d ela cita volvia a la casa y tenia su rutina gimnastica salia a correr durante creo 20 minutos, volvia a la casa, habia comido con el candidato en mishiguene. despues sale a correr a la calle vuelve y creo que eso es todo.
L23NH;Federico se levanta  a las 7 y media de la mañana va a su armario tiene que elegir que ponerse esta entre una camisa a cuadros y una rayada, se queda con una rayada, va al baño se lava la cara creo q con gel se lava las manos los dientes- desayuna cafe y dos tostadas con manteca, no con dulce de leche. despues ah vive en bacacay de caballito. se va al trabajo toma el tren en la estación de caballito, va caminando, esta soleado aunque humedo. el tren tarda quince min en llegar. va al trabajo se encuentra con los compañeros, y esta listo para hacer las primeras llamadas. Despues vuelve a la casa en subte, primero para darse un gusto se habia bajado dos juegos en la play qu queria probar, pero se aburre y sigue leyendo un libro, tenia que tomar la decision sobre que hacerse de cenar.
L23NH;ERa la cronologia de un muchacho se despierta, recuerdo el tema de las camisas que tenia las dudas de que ponerse, tenia una cuadrada y una rayada, se queda con la rayada y despues recuerdo que en la filmina siguiente sale con una remera negra para el trabajo. tambien va al trabajo me parece con subte y despues cuando volvia del trabajo lo que tenia que cocinar y creo que se toma tambien un yogur. Ah juega a la play tambien me parece que si, y no me acuerdo que mas.
L24NH;Una señora duerme se levanta a la mañana desayuna cafe con leche con tostadas de frtilla despues baja se va a su trabajo y toma el subte D, y llega a su trabajo revisa lo que tiene en la computadora se toma un cafe, despues mira los mails y se va con la jefa. Al mediodia almuerza y despues descansa vuelve a trabajar y cuando sale de su trabajo va al supermercado compra lacteos y verduras, vuelve a su casa se saca la ropa se pone la ropa deportiva hace gimnasia y hace siempre el mismo recorrido lleva su botellita de agua, llega a su casa, cena, mira la tele vuelve a mirar la computadora y se acuesta
L24NH;se ve una cama, la señora se esta bañando despues desayuna, se cambia, se va a tomar el subte la linea -d xq va a trabajar a recoleta, llega abre la pc ve los mails y ve todo el trabajo que le mandaron tambien con una tacita de cafe y unas galletitas de frutilla y se va a ver a su jefa. despues va al supermercado antes de ir a su casa compra verduras y lacteos, se pone la ropa deportiva agarra la botellita de agua se va a caminar siempre x el mismo lugar, vuelve llama al delivery,y despues la veo en la cama. ve algo en la tele y se va a dormir
L24NH;Un muchacho, se despierta a las 7 y media de la mañana. Vive en la calle Bacacay en Caballito.  Despues de eso se va a su ropero en donde tiene que elegir  como va a vestirse. Mira y tiene dos opciones una camisa a cuadros y la otra creo que era rayada. Al final se queda con lasegunda opcion. Luego de eso, va al baño se lava la cara se peina, se pone gel y se lava las manos, los dientes Se dirige a la cocina, pone el agua, Desayuna cafe y se hace dos tostadas con dulce de leche. Para ir al trabajo va caminando a tomar el tren en la estación de caballito. El dia esta soleado pero feo, humedo creo que dice.Espera el tren quince minutos . Cuando llega al trabajo se encuentra con los compañeros, y hace unos llamados. Cuando finaliza vuelve a la casa en subte, se habia bajado juegos en la playsation que queria probar, pero se aburre y se pone a pensar que hacerse de cenar. Despues se pone a leer un libro.
L24NH;Bueno es la historia de un hombre que se despertaba en su cama de dos plazas, de su casa de Caballito. Desayunaba algo, se higienizaba e iba a su placard. Tenia varias camisas para ponerse, y finalmente el elegia entre dos camisas una como a cuadros azules y la otra rayada  colorida  creo, despues desayunaba se veia de afuera la cocina. Se hacia unas tostadas con queso  crema. Para ir al trabajo caminaba 5 cuadras y tomaba el tren porque trabajaba en Once. Al llegar saluda y se pone a trabajar  Al finalizar, volvia a su casa y limpiaba el patio
L25H;Un señor se levanta temprano va a buscar que ponerse, esta decidiendo entre dos camisas, una cuadriculada y otra creo que colorada. Sale de la habitación y se dirige al baño, un baño muy lindo, bastante completo el baño. se lava los dientes la cara, se dirige a la cocina, muy completita la cocina tipo americana. Se prepara un desayuno que no me acuerdo que era. Y sale se dirige hacia su trabajo con un bolso, el vive en caballito,camina unas 5 cuadras para llegar a la estacion caballito, pierde 15 min hasta que viene el tren, toma el tren y se dirige a once a la calle saavedra, donde esta su puesto de trabajo que aparentemente es de atender llamadas telefonicas. Antes habia saludado a los amigos, Terminada su jornada de trabajo cierra todo, sale se vuelve en subte a su departamento. Pinta o arregla las plantas en el patio. Se distrae un poquito jugando con la play 4 con un par de jueguitos que habia bajado.Luego se va a escribir a una ventana que no se porque entra sol porque ya es de noche jaja
L25H;Salia un señor temprano a la mañana se levantaba habia mucho sol, desayunaba en una cocina muy bonita un departamento muy moderno. Iba a tomar el tren a la estacion caballito, estaba en la zona de once. tenia una serie de actividades con su gente, se dedicaba a su trabajo creo que telemarketing o algo parecido. Despues volvia en horas de la tarde en subte puede ser? Y no me acuerdo mas
L25H;Una niña que se levanta temprano, toma el desayuno, sale en el subte para su trabajo en el departamento en la calle charcas , ella sube en la estacion carranza. Llega a la oficina se pone a revisar correos electronicos. Alrededor de las 8 y media tiene una reunion de trabajo, creo que es diseñadora grafica y esta haciendo un estudio sobre toallitas intimas. A la tarde vuelve a su casa, se cambia la ropa, previo haber pasado por el supermercado, deja las cosas, sale a correr con una botellita de agua por las dudas. Entra a un boliche a la tarde, vuelve revisa los correos sus redes sociales y despues a dormir.
L25H;Una chica se levantaba temprano, vivia por el centro, desayunaba, tomaba el subte, se iba al trabajo que estaba en recoleta. Despues de haber desayunado llegaba al trabajo, revisaba algunos mails, charlaba por tel a un diseñador grafico. Despues de hacer sus tareas hablaba con la dueña de la empresa aparentemente. Despues a la tarde se iba a su casa tomaba el subte, llegaba a su casa se cambiaba la ropa iba a hacer gimnasia, volvia, arreglaba una reunion por tinder. Tenia una reunion con alguien a la noche, volvia a su casa hacia cosas que no se deben como leer el cel antes de acostarse, estaba en redes sociales, y despues se dormia . En el medio no se sabe que hizo.
L26H;Federico se despierta 7y 30 de la mañana, se levanta, va al baño y se pone gel en el cabello y se cepilla los dientes y se lava la cara Se prepara el desayuno se prepara dos tostadas con queso crema y dulce de leche. Primero elige va a su placard y entre todas las camisas que tiene para ponerse elige entre una camisa a cuadros, de colores y otra azul a rayas, se viste y se va a desayunar. Sale de su casa a las 8 de la mañana, es un dia humedo y soleado vive en la calle bacacay de caballito, camina 5 cuadras hasta la estacion del subte de caballito, llega a la estacion, va al final del anden para dirigirse a su trabajo. Despues de 15 min se baja tiene su trabajo en la calle saavedra, llega a su trabajo se prepara un cafe, y comienza a hacer las llamadas del dia . Al finalizar su trabajo regresa a su casa, primero se pone a jugar con los videojuegos que tiene dos que habia visto la noche anterior de carreras y el otro …Piensa mientras esta con los juegos que comida va a preparar para la cena Despues de un rato el juego lo aburre y se dirige a preparar un te verde y al lado de una ventana se pone a leer un libro.
L26H;Un joven, Federico, cuenta como estaba en la cama y se despierta creo q 7 y media de la mañana despues de haber pasado una buena noche, se levanta, va al placard, ve la ropa que tiene para ponerse, tiene dos camisas, una a cuadros a colores y la otra azul a rayas, y elige la a rayas, y despues va al baño, se lava la cara, los dientes, y se coloca gel en la cabeza, y en el pelo, despues va a desayunar, prepara el desayuno Se hace dos tostadas con dulce de leche y queso. Sale de su casa a las 8 de la mañana vive en la calle Bacacay, camina 5 cuadras hasta Rivadavia donde sta la est del subte para ir a la oficina que esta en el barrio de balvanera en la calle Saavedra, en la est camina hasta el fondo del anden donde toma el primer vagón, sube y llega a su trabajo. Al llegar se sirve un café, despues se dirige a su escritorio y comienza a responder su trabajo de las llamadas del dia, despues de todo el dia de trabajo regresa a su casa se pone un poco con los videojuegos que habia estado jugando la noche anterior, dos juegos uno de aventura y otro de deportes carreras, se aburre y esta sentado en el escritorio al lado de uan ventana luminosa, piensa que va a hacer para la cena y despues de un rato de jugar se sienta a leer un libro
